time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_main_phase,count_schools,total_school_places,total_school_pupils_on_roll,SEND_unit_capacity,resourced_provision_capacity,primary_SEND_unit_capacity,primary_resourced_provision_capacity,secondary_SEND_unit_capacity,secondary_resourced_provision_capacity
202223,Academic year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Primary,7,2005,1980,207,10,207,10,0,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Secondary,2,1764,1570,0,41,0,0,0,41
202223,Academic year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Total,7,3108,2740,0,71,0,46,0,25
202223,Academic year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Primary,6,1220,1202,0,46,0,46,0,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Secondary,1,1888,1538,0,25,0,0,0,25
202223,Academic year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Total,5,2217,2249,0,62,0,47,0,15
202223,Academic year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Primary,4,1167,1143,0,47,0,47,0,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Secondary,1,1050,1106,0,15,0,0,0,15
202223,Academic year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Total,19,13057,12317,0,215,0,144,0,71
202223,Academic year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Primary,13,5794,4972,0,130,0,130,0,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Secondary,6,7263,7345,0,85,0,14,0,71
202223,Academic year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Total,4,3220,3166,0,48,0,24,0,24
202223,Academic year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Primary,2,525,516,0,24,0,24,0,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Secondary,2,2695,2650,0,24,0,0,0,24
202223,Academic year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Total,4,3360,3323,18,26,18,10,0,16
202223,Academic year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Primary,2,840,811,18,10,18,10,0,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Secondary,2,2520,2512,0,16,0,0,0,16
202223,Academic year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Total,17,9780,9735,0,270,0,152,0,118
202223,Academic year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Primary,11,3760,3583,0,152,0,152,0,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Secondary,6,6020,6152,0,118,0,0,0,118
202223,Academic year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Total,13,8125,7406,25,157,25,109,0,48
202223,Academic year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Primary,10,3570,3254,25,109,25,109,0,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Secondary,3,4555,4152,0,48,0,0,0,48
202223,Academic year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Total,9,4236,3862,0,97,0,74,0,23
202223,Academic year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Primary,7,2314,1943,0,74,0,74,0,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Secondary,2,1922,1919,0,23,0,0,0,23
202223,Academic year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Total,8,4029,3638,134,0,100,0,34,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Primary,6,1868,1698,100,0,100,0,0,0
202223,Academic year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Secondary,2,2161,1940,34,0,0,0,34,0
