time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,education_phase,count_schools,count_schools_with_primary_and_secondary_capacity,school_places,pupils_on_roll,primary_capacity,secondary_capacity,primary_pupils_on_roll,secondary_pupils_on_roll
202324,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Secondary,1,0,200,212,0,200,0,212
202324,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Total,5,3,681,674,346,335,345,329
202324,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Primary,1,0,95,100,95,0,100,0
202324,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Secondary,4,3,586,574,251,335,245,329
202324,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Total,4,4,484,484,190,294,190,294
202324,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Secondary,4,4,484,484,190,294,190,294
202324,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Total,4,0,667,673,225,442,229,444
202324,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Primary,2,0,225,229,225,0,229,0
202324,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Secondary,2,0,442,444,0,442,0,444
202324,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Total,9,4,1756,1751,571,1185,572,1179
202324,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Primary,2,0,283,281,283,0,281,0
202324,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Secondary,7,4,1473,1470,288,1185,291,1179
202324,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Total,2,1,319,382,149,170,172,210
202324,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Primary,1,0,50,53,50,0,53,0
202324,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Secondary,1,1,269,329,99,170,119,210
202324,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Total,10,6,1262,1338,640,622,547,791
202324,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Primary,1,0,185,198,185,0,198,0
202324,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Secondary,9,6,1077,1140,455,622,349,791
202324,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Total,4,2,639,696,217,422,199,497
202324,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Primary,1,0,100,106,100,0,106,0
