time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,education_phase,count_schools,school_places,pupils_on_roll,at_or_over_capacity_schools,percent_at_or_over_capacity_schools,pupils_over_capacity,percent_pupils_over_capacity,under_capacity_schools,percent_under_capacity_schools,unfilled_places,percent_unfilled_places
201213,Academic year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Total,227,82022,73447,52,22.9074,919,1.1204311,175,77.0925,9494,11.57494331
201213,Academic year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Primary,192,45027,39975,40,20.8333,283,0.62851178,152,79.1666,5335,11.84844649
201213,Academic year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Secondary,35,36995,33472,12,34.2857,636,1.71915124,23,65.7142,4159,11.24205974
201213,Academic year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Total,61,37089,33300,6,9.836,26,0.07010165,55,90.1639,3815,10.28606865
201213,Academic year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Primary,48,22564,20644,4,8.3333,1,0.00443184,44,91.6666,1921,8.51356143
201213,Academic year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Secondary,13,14525,12656,2,15.3846,25,0.17211704,11,84.6153,1894,13.03958692
201213,Academic year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,Total,74,27314,24624,14,18.9189,98,0.35879036,60,81.081,2788,10.20721974
201213,Academic year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,Primary,52,11153,9976,11,21.1538,58,0.52003945,41,78.8461,1235,11.07325383
201213,Academic year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,Secondary,22,16161,14648,3,13.6363,40,0.24750944,19,86.3636,1553,9.60955386
201213,Academic year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Total,130,43691,37719,20,15.3846,203,0.46462658,110,84.6153,6175,14.13334554
201213,Academic year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Primary,96,18148,16088,17,17.7083,157,0.8651091,79,82.2916,2217,12.21622217
201213,Academic year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Secondary,34,25543,21631,3,8.8235,46,0.18008848,31,91.1764,3958,15.49543906
201213,Academic year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Total,232,88360,77209,23,9.9137,250,0.28293345,209,90.0862,11401,12.90289724
201213,Academic year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Primary,202,51672,44865,19,9.4059,121,0.23416938,183,90.594,6928,13.40764824
201213,Academic year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Secondary,30,36688,32344,4,13.3333,129,0.35161361,26,86.6666,4473,12.19199738
201213,Academic year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Total,68,33940,31039,9,13.2352,59,0.17383618,59,86.7647,2960,8.72127283
201213,Academic year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Primary,57,18813,17424,7,12.2807,27,0.14351778,50,87.7192,1416,7.52671025
201213,Academic year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Secondary,11,15127,13615,2,18.1818,32,0.21154228,9,81.8181,1544,10.20691479
201213,Academic year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Total,534,210488,191281,110,20.5992,1033,0.49076432,424,79.4007,20240,9.61575007
201213,Academic year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Primary,457,115770,105742,92,20.1312,530,0.45780427,365,79.8687,10558,9.11980651
201213,Academic year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Secondary,77,94718,85539,18,23.3766,503,0.53105006,59,76.6233,9682,10.22192192
