time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,education_phase,count_schools,count_schools_with_primary_and_secondary_capacity,total_school_places,total_pupils_on_roll,SEND_unit_capacity,resourced_provision_capacity,primary_SEND_unit_capacity,primary_resourced_provision_capacity,secondary_SEND_unit_capacity,secondary_resourced_provision_capacity
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,941,E06000062,West Northamptonshire,Primary,9,0,3596,3159,247,0,247,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000004,East Midlands,941,E06000062,West Northamptonshire,Secondary,4,1,6280,6117,71,0,0,0,71,0
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Total,43,2,29895,28700,84,606,44,364,40,242
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Primary,29,0,12833,12531,44,352,44,352,0,0
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Secondary,14,2,17062,16169,40,254,0,12,40,242
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Total,8,0,4931,5237,10,94,10,82,0,12
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Primary,6,0,2205,2350,10,82,10,82,0,0
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Secondary,2,0,2726,2887,0,12,0,0,0,12
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Total,11,0,5263,4870,70,66,70,44,0,22
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Primary,9,0,3003,2783,70,44,70,44,0,0
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Secondary,2,0,2260,2087,0,22,0,0,0,22
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Total,14,0,8216,7927,20,167,20,97,0,70
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Primary,11,0,4717,4460,20,97,20,97,0,0
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Secondary,3,0,3499,3467,0,70,0,0,0,70
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Total,5,0,3679,3724,0,116,0,36,0,80
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Primary,3,0,1048,1038,0,36,0,36,0,0
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Secondary,2,0,2631,2686,0,80,0,0,0,80
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Total,9,0,5349,4971,0,95,0,75,0,20
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Primary,7,0,2543,2491,0,75,0,75,0,0
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Secondary,2,0,2806,2480,0,20,0,0,0,20
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Total,10,0,5092,4641,16,145,16,102,0,43
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Primary,7,0,1910,1892,16,102,16,102,0,0
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Secondary,3,0,3182,2749,0,43,0,0,0,43
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Total,7,0,5727,4132,26,57,20,16,6,41
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Primary,3,0,1050,957,20,16,20,16,0,0
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Secondary,4,0,4677,3175,6,41,0,0,6,41
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Total,4,0,1896,1935,65,12,65,12,0,0
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Primary,4,0,1896,1935,65,12,65,12,0,0
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Total,5,0,2570,2380,40,25,32,17,8,8
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Primary,3,0,945,849,32,17,32,17,0,0
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Secondary,2,0,1625,1531,8,8,0,0,8,8
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Total,19,3,13114,10448,57,189,10,91,47,98
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Primary,10,1,3151,2663,10,91,10,88,0,3
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Secondary,9,2,9963,7785,47,98,0,3,47,95
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Total,4,0,1670,1409,16,14,16,14,0,0
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Primary,4,0,1670,1409,16,14,16,14,0,0
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Total,17,0,8035,6145,0,187,0,152,0,35
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Primary,15,0,5286,4545,0,152,0,152,0,0
202324,Academic year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Secondary,2,0,2749,1600,0,35,0,0,0,35
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Total,8,0,8400,7916,117,0,63,0,54,0
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Primary,4,0,2730,2698,63,0,63,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Secondary,4,0,5670,5218,54,0,0,0,54,0
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,Total,5,0,4905,4287,0,90,0,20,0,70
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,Primary,2,0,1470,1262,0,20,0,20,0,0
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,Secondary,3,0,3435,3025,0,70,0,0,0,70
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Total,16,3,10230,9589,162,0,91,0,51,0
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Primary,11,1,4760,4415,98,0,86,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Secondary,5,2,5470,5174,64,0,5,0,51,0
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Total,14,0,13205,11358,9,230,9,33,0,197
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Primary,5,0,2250,1306,9,33,9,33,0,0
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Secondary,9,0,10955,10052,0,197,0,0,0,197
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Total,8,0,7002,6551,0,55,0,27,0,28
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Primary,4,0,1575,1359,0,27,0,27,0,0
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Secondary,4,0,5427,5192,0,28,0,0,0,28
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Total,27,0,21657,19677,35,414,20,218,15,196
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Primary,16,0,5826,5275,20,218,20,218,0,0
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Secondary,11,0,15831,14402,15,196,0,0,15,196
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Total,9,0,8698,8404,102,0,62,0,40,0
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Primary,5,0,2940,2651,62,0,62,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Secondary,4,0,5758,5753,40,0,0,0,40,0
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Total,14,0,9981,9202,186,0,119,0,67,0
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Primary,11,0,5940,5674,119,0,119,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Secondary,3,0,4041,3528,67,0,0,0,67,0
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Total,16,0,8450,7873,165,20,127,0,38,20
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Primary,13,0,4252,4002,127,0,127,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Secondary,3,0,4198,3871,38,20,0,0,38,20
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Total,34,0,13888,11204,426,0,326,0,100,0
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Primary,29,0,8423,7096,326,0,326,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Secondary,5,0,5465,4108,100,0,0,0,100,0
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Total,27,0,16698,14345,484,87,322,39,162,48
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Primary,17,0,6467,5828,322,39,322,39,0,0
202324,Academic year,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Secondary,10,0,10231,8517,162,48,0,0,162,48
202324,Academic year,Local authority,E92000001,England,E12000008,South East,825,E06000060,Buckinghamshire,Total,22,0,13846,12526,20,254,12,154,8,100
202324,Academic year,Local authority,E92000001,England,E12000008,South East,825,E06000060,Buckinghamshire,Primary,15,0,5728,5640,12,154,12,154,0,0
202324,Academic year,Local authority,E92000001,England,E12000008,South East,825,E06000060,Buckinghamshire,Secondary,7,0,8118,6886,8,100,0,0,8,100
202324,Academic year,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,Total,6,0,4287,4330,89,33,32,18,57,15
202324,Academic year,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,Primary,4,0,1380,1247,32,18,32,18,0,0
202324,Academic year,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,Secondary,2,0,2907,3083,57,15,0,0,57,15
202324,Academic year,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,Total,19,1,16655,15174,0,203,0,87,0,116
202324,Academic year,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,Primary,9,0,3390,3203,0,87,0,87,0,0
202324,Academic year,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,Secondary,10,1,13265,11971,0,116,0,0,0,116
202324,Academic year,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,Total,6,0,5299,3520,40,86,40,30,0,56
202324,Academic year,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,Primary,3,0,1257,864,40,30,40,30,0,0
202324,Academic year,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,Secondary,3,0,4042,2656,0,56,0,0,0,56
202324,Academic year,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,Total,47,0,28873,27356,0,651,0,384,0,267
202324,Academic year,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,Primary,28,0,8104,7741,0,384,0,384,0,0
202324,Academic year,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,Secondary,19,0,20769,19615,0,267,0,0,0,267
202324,Academic year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,Total,11,0,6135,5956,145,28,121,4,24,24
202324,Academic year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,Primary,8,0,2700,2567,121,4,121,4,0,0
202324,Academic year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,Secondary,3,0,3435,3389,24,24,0,0,24,24
202324,Academic year,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,Total,2,0,1470,1508,0,21,0,14,0,7
202324,Academic year,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,Primary,1,0,420,413,0,14,0,14,0,0
202324,Academic year,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,Secondary,1,0,1050,1095,0,7,0,0,0,7
202324,Academic year,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Total,6,0,4636,3667,64,66,8,66,56,0
202324,Academic year,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Primary,5,0,2730,2174,8,66,8,66,0,0
202324,Academic year,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Secondary,1,0,1906,1493,56,0,0,0,56,0
202324,Academic year,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,Total,8,1,5712,5277,0,73,0,37,0,36
202324,Academic year,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,Primary,5,0,1620,1500,0,37,0,37,0,0
202324,Academic year,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,Secondary,3,1,4092,3777,0,36,0,0,0,36
202324,Academic year,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,Total,9,0,6216,5558,0,144,0,53,0,91
202324,Academic year,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,Primary,6,0,1680,1677,0,53,0,53,0,0
202324,Academic year,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,Secondary,3,0,4536,3881,0,91,0,0,0,91
202324,Academic year,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,Total,7,0,5847,5389,0,109,0,68,0,41
202324,Academic year,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,Primary,4,0,1785,1575,0,68,0,68,0,0
202324,Academic year,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,Secondary,3,0,4062,3814,0,41,0,0,0,41
202324,Academic year,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,Total,12,1,11095,9694,0,279,0,167,0,112
202324,Academic year,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,Primary,6,0,2932,2659,0,167,0,167,0,0
202324,Academic year,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,Secondary,6,1,8163,7035,0,112,0,0,0,112
202324,Academic year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Total,9,0,4916,4980,0,82,0,57,0,25
202324,Academic year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Primary,7,0,1789,1676,0,57,0,57,0,0
202324,Academic year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Secondary,2,0,3127,3304,0,25,0,0,0,25
202324,Academic year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,Total,65,0,45992,42654,0,1480,0,785,0,695
202324,Academic year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,Primary,41,0,17296,15966,0,785,0,785,0,0
202324,Academic year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,Secondary,24,0,28696,26688,0,695,0,0,0,695
202324,Academic year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,Total,12,1,10488,9259,8,365,8,192,0,173
202324,Academic year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,Primary,7,0,3092,2472,8,192,8,192,0,0
202324,Academic year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,Secondary,5,1,7396,6787,0,173,0,0,0,173
202324,Academic year,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,Total,7,1,4728,4196,0,75,0,30,0,45
202324,Academic year,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,Primary,4,0,1277,1057,0,30,0,30,0,0
202324,Academic year,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,Secondary,3,1,3451,3139,0,45,0,0,0,45
202324,Academic year,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,Total,13,0,11854,11029,0,191,0,65,0,126
202324,Academic year,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,Primary,6,0,1995,1581,0,65,0,65,0,0
202324,Academic year,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,Secondary,7,0,9859,9448,0,126,0,0,0,126
202324,Academic year,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,Total,52,0,32935,30564,940,0,651,0,289,0
202324,Academic year,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,Primary,37,0,13723,12719,651,0,651,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,Secondary,15,0,19212,17845,289,0,0,0,289,0
202324,Academic year,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,Total,27,0,23058,21159,37,377,0,233,37,144
202324,Academic year,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,Primary,17,0,7828,7287,0,233,0,233,0,0
202324,Academic year,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,Secondary,10,0,15230,13872,37,144,0,0,37,144
202324,Academic year,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,Total,6,0,3409,2636,29,66,29,36,0,30
202324,Academic year,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,Primary,4,0,1680,1128,29,36,29,36,0,0
202324,Academic year,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,Secondary,2,0,1729,1508,0,30,0,0,0,30
202324,Academic year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Total,16,0,9908,9015,394,0,245,0,149,0
202324,Academic year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Primary,11,0,4230,3450,245,0,245,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Secondary,5,0,5678,5565,149,0,0,0,149,0
202324,Academic year,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,Total,5,0,3190,2827,71,0,61,0,10,0
202324,Academic year,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,Primary,4,0,1890,1709,61,0,61,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,Secondary,1,0,1300,1118,10,0,0,0,10,0
202324,Academic year,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,Total,10,0,7751,6373,22,124,12,55,10,69
202324,Academic year,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,Primary,5,0,1805,1761,12,55,12,55,0,0
202324,Academic year,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,Secondary,5,0,5946,4612,10,69,0,0,10,69
202324,Academic year,Local authority,E92000001,England,E12000009,South West,838,E06000059,Dorset,Total,13,3,10340,9346,0,152,0,84,0,68
202324,Academic year,Local authority,E92000001,England,E12000009,South West,838,E06000059,Dorset,Primary,6,0,1982,1682,0,70,0,70,0,0
202324,Academic year,Local authority,E92000001,England,E12000009,South West,838,E06000059,Dorset,Secondary,7,3,8358,7664,0,82,0,14,0,68
202324,Academic year,Local authority,E92000001,England,E12000009,South West,839,E06000058,"Bournemouth, Christchurch and Poole",Total,8,1,7166,6707,96,0,20,0,76,0
202324,Academic year,Local authority,E92000001,England,E12000009,South West,839,E06000058,"Bournemouth, Christchurch and Poole",Primary,2,0,930,956,20,0,20,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000009,South West,839,E06000058,"Bournemouth, Christchurch and Poole",Secondary,6,1,6236,5751,76,0,0,0,76,0
202324,Academic year,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,Total,45,0,38550,32813,0,742,0,427,0,315
202324,Academic year,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,Primary,21,0,6405,5323,0,427,0,427,0,0
202324,Academic year,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,Secondary,24,0,32145,27490,0,315,0,0,0,315
202324,Academic year,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,Total,12,0,10002,9373,94,144,34,73,60,71
202324,Academic year,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,Primary,7,0,2867,2708,34,73,34,73,0,0
202324,Academic year,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,Secondary,5,0,7135,6665,60,71,0,0,60,71
202324,Academic year,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,Total,10,0,7505,5409,0,78,0,54,0,24
202324,Academic year,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,Primary,7,0,2965,2315,0,54,0,54,0,0
202324,Academic year,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,Secondary,3,0,4540,3094,0,24,0,0,0,24
202324,Academic year,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,Total,7,0,6015,4971,94,0,58,0,36,0
202324,Academic year,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,Primary,4,0,1785,1496,58,0,58,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,Secondary,3,0,4230,3475,36,0,0,0,36,0
202324,Academic year,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,Total,6,0,5815,5004,0,92,0,34,0,58
202324,Academic year,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,Primary,3,0,1365,1292,0,34,0,34,0,0
202324,Academic year,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,Secondary,3,0,4450,3712,0,58,0,0,0,58
202324,Academic year,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,Total,19,0,15157,12794,355,0,129,0,226,0
202324,Academic year,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,Primary,10,0,3535,2720,129,0,129,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,Secondary,9,0,11622,10074,226,0,0,0,226,0
202324,Academic year,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,Total,6,0,2005,1524,70,10,70,0,0,10
202324,Academic year,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,Primary,5,0,910,836,70,0,70,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,Secondary,1,0,1095,688,0,10,0,0,0,10
202324,Academic year,Local authority,E92000001,England,E12000009,South West,933,E06000066,Somerset,Total,9,1,7942,7026,66,121,64,43,2,78
202324,Academic year,Local authority,E92000001,England,E12000009,South West,933,E06000066,Somerset,Primary,4,0,1700,1692,64,31,64,31,0,0
202324,Academic year,Local authority,E92000001,England,E12000009,South West,933,E06000066,Somerset,Secondary,5,1,6242,5334,2,90,0,12,2,78
202324,Academic year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,Total,9,0,6767,5417,186,0,124,0,62,0
202324,Academic year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,Primary,6,0,2238,1891,124,0,124,0,0,0
202324,Academic year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,Secondary,3,0,4529,3526,62,0,0,0,62,0
202324,Academic year,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,Total,9,0,5840,4659,0,105,0,78,0,27
202324,Academic year,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,Primary,7,0,3280,2217,0,78,0,78,0,0
202324,Academic year,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,Secondary,2,0,2560,2442,0,27,0,0,0,27
202324,Academic year,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,Total,1,0,210,209,11,0,11,0,0,0
202324,Academic year,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,Primary,1,0,210,209,11,0,11,0,0,0
202324,Academic year,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,Total,1,0,350,247,64,0,64,0,0,0
202324,Academic year,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,Primary,1,0,350,247,64,0,64,0,0,0
202324,Academic year,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,Total,6,0,4152,3969,0,91,0,52,0,39
202324,Academic year,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,Primary,3,0,1190,898,0,52,0,52,0,0
202324,Academic year,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,Secondary,3,0,2962,3071,0,39,0,0,0,39
202324,Academic year,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,Total,10,1,7143,5634,0,285,0,225,0,60
202324,Academic year,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,Primary,7,0,3433,2156,0,225,0,225,0,0
202324,Academic year,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,Secondary,3,1,3710,3478,0,60,0,0,0,60
202324,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Total,12,0,9256,6921,0,206,0,120,0,86
202324,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Primary,8,0,4545,3823,0,120,0,120,0,0
202324,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Secondary,4,0,4711,3098,0,86,0,0,0,86
202324,Academic year,Local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,Total,6,0,2475,2015,24,78,24,78,0,0
202324,Academic year,Local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,Primary,6,0,2475,2015,24,78,24,78,0,0
202324,Academic year,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,Total,8,1,5952,5486,0,167,0,136,0,31
202324,Academic year,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,Primary,6,0,2645,2405,0,125,0,125,0,0
202324,Academic year,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,Secondary,2,1,3307,3081,0,42,0,11,0,31
202324,Academic year,Local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,Total,15,0,11566,8869,0,382,0,266,0,116
202324,Academic year,Local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,Primary,11,0,5190,3727,0,266,0,266,0,0
202324,Academic year,Local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,Secondary,4,0,6376,5142,0,116,0,0,0,116
202324,Academic year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Total,6,0,3442,2833,0,81,0,58,0,23
202324,Academic year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Primary,4,0,1232,719,0,58,0,58,0,0
