time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,education_phase,count_schools,count_schools_with_primary_and_secondary_capacity,total_school_places,total_pupils_on_roll,SEND_unit_capacity,resourced_provision_capacity,primary_SEND_unit_capacity,primary_resourced_provision_capacity,secondary_SEND_unit_capacity,secondary_resourced_provision_capacity
202324,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Primary,6,0,2170,1824,90,0,90,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Secondary,4,1,4020,3337,107,0,18,0,89,0
202324,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Total,7,0,4462,3895,0,192,0,107,0,85
202324,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Primary,5,0,1861,1460,0,107,0,107,0,0
202324,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Secondary,2,0,2601,2435,0,85,0,0,0,85
202324,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Total,11,0,8269,7703,55,314,55,151,0,163
202324,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Primary,6,0,2119,1864,55,151,55,151,0,0
202324,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Secondary,5,0,6150,5839,0,163,0,0,0,163
202324,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Total,7,0,2625,2215,110,75,100,65,10,10
202324,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Primary,6,0,1625,1403,100,65,100,65,0,0
202324,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Secondary,1,0,1000,812,10,10,0,0,10,10
202324,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Total,16,0,10976,9941,0,207,0,112,0,95
202324,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Primary,9,0,2933,2634,0,112,0,112,0,0
202324,Academic year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Secondary,7,0,8043,7307,0,95,0,0,0,95
202324,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Total,5,0,1905,1838,16,57,16,43,0,14
202324,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Primary,4,0,1270,1181,16,43,16,43,0,0
202324,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Secondary,1,0,635,657,0,14,0,0,0,14
202324,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Total,2,0,814,772,0,22,0,10,0,12
202324,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Primary,1,0,175,164,0,10,0,10,0,0
202324,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Secondary,1,0,639,608,0,12,0,0,0,12
202324,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Total,1,0,420,443,48,0,48,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Primary,1,0,420,443,48,0,48,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Total,9,0,2728,2746,184,46,184,46,0,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Primary,9,0,2728,2746,184,46,184,46,0,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Total,5,0,2863,2744,0,109,0,62,0,47
202324,Academic year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Primary,3,0,810,708,0,62,0,62,0,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Secondary,2,0,2053,2036,0,47,0,0,0,47
202324,Academic year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Total,11,0,4992,4795,255,53,237,10,18,43
202324,Academic year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Primary,8,0,2219,2210,237,10,237,10,0,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Secondary,3,0,2773,2585,18,43,0,0,18,43
202324,Academic year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Total,17,0,10916,9131,0,364,0,224,0,140
202324,Academic year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Primary,12,0,4128,3408,0,224,0,224,0,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Secondary,5,0,6788,5723,0,140,0,0,0,140
202324,Academic year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Total,8,0,3304,2944,0,107,0,82,0,25
202324,Academic year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Primary,7,0,1416,1402,0,82,0,82,0,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Secondary,1,0,1888,1542,0,25,0,0,0,25
202324,Academic year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Total,5,0,2217,2258,0,62,0,47,0,15
202324,Academic year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Primary,4,0,1167,1160,0,47,0,47,0,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Secondary,1,0,1050,1098,0,15,0,0,0,15
202324,Academic year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Total,19,2,13057,12273,0,222,0,151,0,71
202324,Academic year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Primary,13,0,5794,4903,0,137,0,137,0,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Secondary,6,2,7263,7370,0,85,0,14,0,71
202324,Academic year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Total,4,0,3220,3140,0,48,0,24,0,24
202324,Academic year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Primary,2,0,525,519,0,24,0,24,0,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Secondary,2,0,2695,2621,0,24,0,0,0,24
202324,Academic year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Total,5,0,3827,3800,32,34,32,18,0,16
202324,Academic year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Primary,3,0,1260,1237,32,18,32,18,0,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Secondary,2,0,2567,2563,0,16,0,0,0,16
202324,Academic year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Total,17,0,9765,9846,0,270,0,152,0,118
202324,Academic year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Primary,11,0,3745,3643,0,152,0,152,0,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Secondary,6,0,6020,6203,0,118,0,0,0,118
202324,Academic year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Total,13,0,8125,7269,25,157,25,109,0,48
202324,Academic year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Primary,10,0,3570,3158,25,109,25,109,0,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Secondary,3,0,4555,4111,0,48,0,0,0,48
202324,Academic year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Total,10,0,4521,4304,0,109,0,86,0,23
202324,Academic year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Primary,8,0,2599,2362,0,86,0,86,0,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Secondary,2,0,1922,1942,0,23,0,0,0,23
202324,Academic year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Total,8,0,4201,3790,100,55,100,0,0,55
202324,Academic year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Primary,6,0,1958,1780,100,0,100,0,0,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Secondary,2,0,2243,2010,0,55,0,0,0,55
202324,Academic year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Total,8,0,4307,4229,0,55,0,37,0,18
202324,Academic year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Primary,6,0,2147,2018,0,37,0,37,0,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Secondary,2,0,2160,2211,0,18,0,0,0,18
202324,Academic year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Total,14,1,5941,4534,0,260,0,228,0,32
202324,Academic year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Primary,12,0,2946,2072,0,202,0,202,0,0
202324,Academic year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Secondary,2,1,2995,2462,0,58,0,26,0,32
202324,Academic year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Total,11,0,7265,7207,0,237,0,136,0,101
202324,Academic year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Primary,6,0,1874,1872,0,136,0,136,0,0
