time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,education_phase,pupil_forecast_and_202324_actuals
202324,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Total,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Total,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Total,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Total,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Total,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Total,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Total,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Total,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Total,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Total,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Total,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Total,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Total,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Total,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Total,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Total,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Total,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Total,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Total,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Total,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Total,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,Total,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,942,E06000063,Cumberland,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,943,E06000064,Westmorland and Furness,Total,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,943,E06000064,Westmorland and Furness,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000002,North West,943,E06000064,Westmorland and Furness,Secondary,z
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Total,z
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Primary,z
202324,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Secondary,z
